#SRCNAME|DSTNAME|METRIC=VALUE,METRIC=VALUE,...
aws.us-east-2|azure.southeastasia|cost=90.00,delay=231.78
aws.us-east-2|azure.northeurope|cost=90.00,delay=76.85
aws.us-east-2|azure.swedencentral|cost=90.00,delay=113.78
aws.us-east-2|azure.uksouth|cost=90.00,delay=84.55
aws.us-east-2|azure.westeurope|cost=90.00,delay=91.28
aws.us-east-2|azure.centralus|cost=90.00,delay=37.64
aws.us-east-2|azure.southafricanorth|cost=90.00,delay=250.10
aws.us-east-2|azure.centralindia|cost=90.00,delay=212.15
aws.us-east-2|azure.eastasia|cost=90.00,delay=211.55
aws.us-east-2|azure.japaneast|cost=90.00,delay=159.54
aws.us-east-2|azure.koreacentral|cost=90.00,delay=184.24
aws.us-east-2|azure.canadacentral|cost=90.00,delay=23.41
aws.us-east-2|azure.francecentral|cost=90.00,delay=90.21
aws.us-east-2|azure.germanywestcentral|cost=90.00,delay=96.80
aws.us-east-2|azure.norwayeast|cost=90.00,delay=112.18
aws.us-east-2|azure.polandcentral|cost=90.00,delay=111.21
aws.us-east-2|azure.switzerlandnorth|cost=90.00,delay=102.55
aws.us-east-2|azure.uaenorth|cost=90.00,delay=198.96
aws.us-east-2|azure.brazilsouth|cost=90.00,delay=124.39
aws.us-east-2|azure.qatarcentral|cost=90.00,delay=203.83
aws.us-east-2|azure.northcentralus|cost=90.00,delay=21.22
aws.us-east-2|azure.westus|cost=90.00,delay=67.96
aws.us-east-2|azure.westcentralus|cost=90.00,delay=52.46
aws.us-east-2|azure.australiacentral|cost=90.00,delay=213.34
aws.us-east-2|azure.australiasoutheast|cost=90.00,delay=219.01
aws.us-east-2|azure.japanwest|cost=90.00,delay=169.08
aws.us-east-2|azure.koreasouth|cost=90.00,delay=181.71
aws.us-east-2|azure.southindia|cost=90.00,delay=239.35
aws.us-east-2|azure.canadaeast|cost=90.00,delay=31.28
aws.us-east-2|azure.ukwest|cost=90.00,delay=87.30
aws.us-west-1|aws.us-east-1|cost=20.00,delay=61.15
aws.us-west-1|aws.us-east-2|cost=20.00,delay=50.62
aws.us-west-1|aws.us-west-2|cost=20.00,delay=20.95
aws.us-west-1|aws.ap-south-1|cost=20.00,delay=226.78
aws.us-west-1|aws.ap-northeast-3|cost=20.00,delay=108.45
aws.us-west-1|aws.ap-northeast-2|cost=20.00,delay=129.57
aws.us-west-1|aws.ap-southeast-1|cost=20.00,delay=172.07
aws.us-west-1|aws.ap-southeast-2|cost=20.00,delay=138.14
aws.us-west-1|aws.ap-northeast-1|cost=20.00,delay=106.81
aws.us-west-1|aws.ca-central-1|cost=20.00,delay=84.61
aws.us-west-1|aws.eu-central-1|cost=20.00,delay=150.63
aws.us-west-1|aws.eu-west-1|cost=20.00,delay=127.77
aws.us-west-1|aws.eu-west-2|cost=20.00,delay=146.39
aws.us-west-1|aws.eu-west-3|cost=20.00,delay=141.69
aws.us-west-1|aws.eu-north-1|cost=20.00,delay=172.36
aws.us-west-1|aws.sa-east-1|cost=20.00,delay=174.25
aws.us-west-1|gcp.northamerica-northeast1|cost=90.00,delay=75.61
aws.us-west-1|gcp.northamerica-northeast2|cost=90.00,delay=68.91
aws.us-west-1|gcp.southamerica-east1|cost=90.00,delay=165.59
aws.us-west-1|gcp.southamerica-west1|cost=90.00,delay=114.44
aws.us-west-1|gcp.us-central1|cost=90.00,delay=47.26
aws.us-west-1|gcp.us-east1|cost=90.00,delay=70.55
aws.us-west-1|gcp.us-east4|cost=90.00,delay=69.18
aws.us-west-1|gcp.us-east5|cost=90.00,delay=65.33
aws.us-west-1|gcp.us-south1|cost=90.00,delay=44.06
aws.us-west-1|gcp.us-west1|cost=90.00,delay=22.00
aws.us-west-1|gcp.us-west2|cost=90.00,delay=9.37
aws.us-west-1|gcp.us-west3|cost=90.00,delay=20.60
aws.us-west-1|gcp.us-west4|cost=90.00,delay=16.48
aws.us-west-1|gcp.europe-central2|cost=90.00,delay=169.36
